order_id,date,product,category,region,state,quantity,unit_price,discount_pct,total_value,freight,payment_method,customer_id,status
PED-20240100001,2024-01-01,Notebook,Informática,Norte,AP,3,4720.03,0.15,12036.06,0.0,Cartão de Crédito,CLI-00040,Entregue
PED-20240100002,2024-01-01,Smartwatch,Acessórios,Norte,PA,4,1203.07,0.15,4090.45,0.0,PIX,CLI-00993,Entregue
PED-20240100003,2024-01-01,Micro-ondas,Eletrodomésticos,Centro-Oeste,DF,2,727.73,0.05,1382.69,0.0,Cartão de Crédito,CLI-00082,Entregue
PED-20240100004,2024-01-01,Fone de Ouvido,Acessórios,Centro-Oeste,MT,3,348.94,0.15,889.8,0.0,PIX,CLI-01402,Entregue
PED-20240100005,2024-01-01,Câmera,Eletrônicos,Nordeste,PB,2,3676.15,0.1,6617.08,0.0,Cartão de Crédito,CLI-01282,Entregue
PED-20240100006,2024-01-01,Smartwatch,Acessórios,Norte,TO,1,1359.89,0.0,1359.89,0.0,PIX,CLI-00805,Entregue
PED-20240100007,2024-01-01,Tablet,Eletrônicos,Sudeste,ES,5,2048.73,0.1,9219.27,0.0,Boleto,CLI-00855,Em trânsito
PED-20240100008,2024-01-01,Fone de Ouvido,Acessórios,Centro-Oeste,GO,4,399.41,0.1,1437.86,0.0,Transferência,CLI-00270,Entregue
PED-20240100009,2024-01-01,Fone de Ouvido,Acessórios,Sul,PR,5,369.33,0.0,1846.63,0.0,PIX,CLI-01411,Em trânsito
PED-20240100010,2024-01-02,Geladeira,Eletrodomésticos,Sul,SC,2,4396.85,0.1,7914.33,0.0,PIX,CLI-00139,Cancelado
PED-20240100011,2024-01-02,Geladeira,Eletrodomésticos,Centro-Oeste,DF,2,3970.17,0.0,7940.35,0.0,PIX,CLI-00848,Entregue
PED-20240100012,2024-01-02,Console,Games,Nordeste,SE,3,2507.64,0.0,7522.93,0.0,Boleto,CLI-00054,Entregue
PED-20240100013,2024-01-02,Micro-ondas,Eletrodomésticos,Centro-Oeste,MT,5,816.09,0.0,4080.45,0.0,Boleto,CLI-01408,Entregue
PED-20240100014,2024-01-02,Smartphone,Eletrônicos,Nordeste,PE,4,2225.56,0.1,8012.03,0.0,PIX,CLI-00377,Entregue
PED-20240100015,2024-01-02,Console,Games,Norte,AC,2,2517.58,0.0,5035.16,0.0,Cartão de Crédito,CLI-00553,Entregue
